X/L	Mach	Velocity	Pressure	Density	Flux
0.1	1.1599999999999995	1.2183460594282962	0.4342507641410979	0.55111632978675	0.3424397084279588
0.10450000000000001	1.1675374462089656	1.224569701428677	0.430070671596545	0.5473214642575958	0.34243575603425563
0.10900000000000001	1.1750670995164647	1.230762166897838	0.42592330171776	0.5435462376993448	0.34243617824255357
0.1135	1.1826349902464048	1.2369608423967575	0.421781688985421	0.5397657234442944	0.34243561178358367
0.11800000000000001	1.1901930138848928	1.2431247964342524	0.41766932405849744	0.5360014319306075	0.3424361288050103
0.12250000000000001	1.197792044278783	1.2492969316908127	0.4135623637386563	0.5322314652707331	0.34243545102329975
0.127	1.2053774135732884	1.255430997425467	0.40948687201346856	0.5284798371325486	0.34243609165609845
0.1315	1.2130073579381708	1.2615758802643176	0.40541609690109104	0.5247218389085305	0.34243526958384635
0.136	1.2206186359894589	1.2676783813692225	0.4013794677849825	0.520984752347776	0.3424360725128307
0.1405	1.2282791819712993	1.273795263243431	0.3973464030450526	0.5172401686330261	0.34243506153183134
0.14500000000000002	1.2359145583088735	1.27986426472345	0.39335070708967906	0.513519618907609	0.34243607922132274
0.14950000000000002	1.2436054392868747	1.2859524733614096	0.3893568023817799	0.5097898588237182	0.3424348184079681
0.15400000000000003	1.2512627183707572	1.2919857795211296	0.3854041767459031	0.5060879481486797	0.34243612267549994
0.15850000000000003	1.258983845121319	1.2980448277911436	0.3814507462824337	0.5023743269592686	0.34243452804288077
0.163	1.2666603880711482	1.3040399414738577	0.3775434011550695	0.4986932738934036	0.3424362182651577
0.1675	1.2744120038768934	1.3100696522749193	0.3736315612063873	0.49499695185252157	0.34243417289108335
0.17200000000000001	1.2821046115877972	1.3160236871666446	0.3697718088724525	0.4913391221934766	0.34243638792422215
0.17650000000000002	1.2898874901312585	1.3220243497237523	0.36590240558193177	0.48766103205532196	0.34243372745499606
0.18100000000000002	1.2975922144399397	1.3279338862299919	0.3620927145422947	0.4840289946669782	0.3424366633155093
0.1855	1.3054079313936546	1.3339064678357155	0.3582662316511776	0.48036974747240335	0.3424331543990815
0.19	1.3131197823389469	1.3397673285695404	0.3545093144898667	0.4767663642832705	0.34243709064982153
0.1945	1.320971103875246	1.3457137748431387	0.3507257476834541	0.47312611978555547	0.34243239858468316
0.199	1.3286836034699554	1.3515206824353287	0.3470246965110505	0.4695546846919406	0.34243773812931055
0.20350000000000001	1.3365750570649033	1.3574443556863374	0.34328337513254836	0.4659329663516463	0.3424313778250522
0.20800000000000002	1.3442795601595172	1.3631904132012516	0.33964186688238673	0.46239741663196193	0.34243870754636807
0.21250000000000002	1.3522182898433568	1.3690967459009704	0.3359411938047691	0.45879284050104646	0.34242996840149387
0.21700000000000003	1.3599029446982218	1.3747726443216601	0.33236380086692974	0.45529807831868313	0.3424401525568908
0.22150000000000003	1.3679000137648534	1.3806701299088084	0.32870086493129885	0.45170794772108935	0.34242798211715486
0.226	1.3755481556739448	1.3862629283180798	0.3251935279918405	0.44826033191705683	0.34244230779277596
0.2305	1.3836205622928237	1.392164647249808	0.3215635161908023	0.44468002103183873	0.34242512953576293
0.23500000000000001	1.3912081991611895	1.3976558723204535	0.31813427173493963	0.4412881268441951	0.3424455357492613
0.23950000000000002	1.399382046958642	1.4035818806257636	0.31452956213957195	0.43771012799218945	0.34242096048339804
0.24400000000000002	1.4068738606331417	1.408944520872193	0.31118967806740927	0.43438593548613563	0.3424504029811356
0.24850000000000003	1.4151894411703334	1.4149256557019798	0.30759841394782966	0.4307983626315096	0.3424147670839061
0.253	1.4225323005782713	1.4201193203537115	0.30436419489355643	0.42755914292965713	0.34245780436510515
0.25750000000000006	1.431052431827683	1.42620339053778	0.3007679947904814	0.4239433418807528	0.34240542604123897
0.262	1.4381645935753955	1.4311663349150745	0.29766371870580954	0.4208146980049125	0.34246916363843427
0.2665	1.4469887219812534	1.4374284513997182	0.2940339012544555	0.4171413677663504	0.3423911482735398
0.271	1.4537412064487825	1.4420640601296084	0.2910967385442629	0.414162210782856	0.342486742242658
0.2755	1.4630302764295726	1.4486244455587565	0.2873878867933572	0.4103850228312637	0.34236911431661243
0.28	1.469213110087808	1.4527774497511383	0.28467646505952066	0.40761580016787236	0.34251404466653385
0.28450000000000003	1.4792361183116836	1.4598334924459557	0.280814957064724	0.4036608494634348	0.34233509231821085
0.28900000000000003	1.484492612085672	1.4632459627132282	0.27842507638060754	0.4011971093777108	0.3425560325464922
0.29350000000000004	1.4957214847520093	1.4711333804602371	0.27428735665879656	0.3969457798097862	0.34228373786643157
0.29800000000000004	1.4994067377753462	1.4733574298508325	0.272383046694685	0.3949396983431826	0.34261759269189423
0.3025	1.5127336367138358	1.4826768161968134	0.26775066111458135	0.39020292595515077	0.34221288398934796
0.30700000000000005	1.5135659199440956	1.4828835474170008	0.26663283180030195	0.38889310947785727	0.3426934112018839
0.3115	1.5308826521242571	1.494793877771616	0.2610855350928653	0.38338227436527966	0.34214573525934405
0.31600000000000006	1.5259046403466503	1.4912785367827648	0.26137939579780806	0.3831216004136083	0.34272233869797303
0.3205	1.5546066596209083	1.5101176581387397	0.2533167593452747	0.3758473002408527	0.3420881291219141
0.32500000000000007	1.195409497481292	1.2352543688621802	0.36942087188009215	0.48436200849616934	0.3623516676284221
0.3295	0.7326816350939339	0.8207353214401101	0.6294934136032264	0.7023338323569497	0.35079826097614003
