x	t=0.5	t=1.2	t=2.0
-1.0	0.5	0.5	0.5
-0.99	0.4999837566814289	0.49999992655098213	0.4999999997554301
-0.98	0.4999585075588663	0.4999998113884914	0.49999999937082423
-0.97	0.4999210325735934	0.4999996378773393	0.49999999878837087
-0.96	0.499867315558174	0.49999938404312955	0.49999999793035077
-0.95	0.4997924117065701	0.4999990210498358	0.4999999966927972
-0.94	0.4996903259232804	0.4999985113830897	0.49999999493759584
-0.9299999999999999	0.49955389738311784	0.4999978066303975	0.49999999248243526
-0.92	0.49937469681037405	0.49999684478765666	0.4999999890880817
-0.91	0.4991429437044491	0.4999955470126232	0.4999999844423429
-0.9	0.4988474512771589	0.49999381373739143	0.49999997813993685
-0.89	0.4984756070836565	0.4999915200433535	0.4999999696573274
-0.88	0.49801339715022813	0.49998851019376817	0.4999999583213954
-0.87	0.49744548076177475	0.4999845912111958	0.49999994327058245
-0.86	0.49675532191514465	0.4999795253799836	0.49999992340688837
-0.85	0.49592538173394496	0.499973021547931	0.4999998973367917
-0.84	0.4949373738613391	0.4999647250966551	0.4999998632987987
-0.83	0.4937725820158072	0.49995420644724803	0.4999998190749257
-0.8200000000000001	0.49241223556784086	0.49994094796695593	0.49999976188293116
-0.81	0.4908379352815746	0.499924329144115	0.4999996882455674
-0.8	0.4890321174348424	0.4999036099027637	0.49999959383250975
-0.79	0.4869785406230983	0.4998779119354902	0.4999994732698924
-0.78	0.4846627759740119	0.49984619794342305	0.49999931991158764
-0.77	0.4820726786133018	0.4998072486860592	0.4999991255654509
-0.76	0.4791988164206465	0.4997596377610372	0.499998880166731
-0.75	0.476034831775847	0.49970170405519	0.4999985713896967
-0.74	0.47257771342825894	0.4996315218334445	0.49999818418725755
-0.73	0.46882795900150825	0.49954686846155716	0.4999977002469189
-0.72	0.4647896139518627	0.49944518979256775	0.49999709734984743
-0.71	0.46047017977834154	0.4993235632855504	0.49999634861805514
-0.7	0.4558803924366952	0.4991786589692217	0.49999542163279825
-0.69	0.4510338805258324	0.49900669841286144	0.49999427740514846
-0.6799999999999999	0.4459467210454969	0.49880341192370087	0.49999286917736846
-0.6699999999999999	0.4406369174947484	0.49856399425449066	0.49999114103115966
-0.6599999999999999	0.4351238300239835	0.4982830591788072	0.4999890262760371
-0.65	0.42942758972794504	0.49795459337641124	0.49998644558801536
-0.64	0.4235685287488132	0.49757191016855845	0.4999833048654086
-0.63	0.41756665477437305	0.4971276037557414	0.49997949276483405
-0.62	0.41144119322060835	0.4966135047400792	0.49997487787644385
-0.61	0.4052102135813729	0.49602063786367756	0.4999693054928867
-0.6	0.3988903489391996	0.495339183064561	0.4999625939215294
-0.5900000000000001	0.3924966102892663	0.49455844114443137	0.49995453028390296
-0.5800000000000001	0.38604229084476743	0.4936668055576041	0.49994486574013425
-0.5700000000000001	0.3795389503791605	0.4926517420663732	0.49993331006911895
-0.56	0.3729964661935763	0.4914997782607851	0.49991952552728236
-0.55	0.36642313551688865	0.4901965052030589	0.499903119899707
-0.54	0.35982581389691226	0.4887265937173297	0.49988363864703794
-0.53	0.35321007513340635	0.4870738280873631	0.4998605560395361
-0.52	0.3465803801763698	0.4852211601258338	0.49983326515564874
-0.51	0.339940244796053	0.48315078670913253	0.49980106660602897
-0.5	0.33329239839063896	0.48084425389482555	0.4997631558245534
-0.49	0.32663892876668027	0.478282590611293	0.49971860874487833
-0.48	0.3199814099186115	0.4754464745816548	0.49966636565362
-0.47	0.31332101163811127	0.4723164325649068	0.49960521297835164
-0.45999999999999996	0.30665859116106403	0.4688730761159258	0.49953376272898664
-0.44999999999999996	0.29999476802115194	0.46509737284029734	0.4994504292632203
-0.43999999999999995	0.2933299838717987	0.4609709515239479	0.49935340298857217
-0.43000000000000005	0.2866645493287844	0.4564764375522071	0.4992406205427383
-0.42000000000000004	0.27999867994719785	0.4515978127368792	0.4991097309073653
-0.41000000000000003	0.27333252334819447	0.44632079113040135	0.4989580568040515
-0.4	0.2666661793139086	0.44063319976684584	0.49878255059042514
-0.39	0.25999971442150654	0.43452535073303744	0.4985797437121538
-0.38	0.2533331725257836	0.42799038879555296	0.49834568856552763
-0.37	0.2466665821484815	0.4210245972838912	0.498075891374233
-0.36	0.2399999616063011	0.41362764435856686	0.4977652343692671
-0.35	0.23333332251569175	0.4058027524461606	0.49740788516457046
-0.33999999999999997	0.22666667215269065	0.39755677569473397	0.49699719071898096
-0.32999999999999996	0.220000015018725	0.38890017386013387	0.49652555263590514
-0.31999999999999995	0.21333335386470315	0.3798468759798002	0.4959842797333746
-0.31000000000000005	0.20666669035138727	0.3704140332439419	0.4953634127622485
-0.30000000000000004	0.2000000254693307	0.3606216671746275	0.4946515147827269
-0.29000000000000004	0.1933333598022742	0.35049222597263996	0.4938354189255034
-0.28	0.18666669369012764	0.34005006802102083	0.49289992292317414
-0.27	0.18000002732847833	0.32932089639408385	0.4918274167085236
-0.26	0.17333336082854547	0.31833117127788974	0.4905974252789537
-0.25	0.16666669425283262	0.30710752812795666	0.489186043568294
-0.24	0.16000002763605736	0.2956762280896064	0.48756523277524344
-0.22999999999999998	0.1533333609972803	0.28406266386758283	0.48570193784484794
-0.21999999999999997	0.14666669434684526	0.2722909392696263	0.48355697277527776
-0.20999999999999996	0.14000002769030193	0.26038353464416814	0.4810836031206362
-0.19999999999999996	0.13333336103059304	0.24836106404113495	0.47822573232057897
-0.18999999999999995	0.126666694369262	0.23624212378362983	0.4749155691567481
-0.18000000000000005	0.12000002770710856	0.2240432267826138	0.4710706169945174
